tick,cmd_0,cmd_1,cmd_2,ang_vel_0,ang_vel_1,ang_vel_2,proj_grav_0,proj_grav_1,proj_grav_2,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,vel_12,vel_13,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13
40,0.0,0.0,0.0,0.028448867,-0.33937928,0.0043196897,0.058220573,0.019337611,-0.99811643,-0.0155362785,-0.028195469,0.042772718,0.019372396,0.09878004,-0.0047951476,-0.03855299,-0.020523231,0.025893798,-0.08880614,-0.0013426413,-0.016303502,-0.0051787593,0.0028770885,-0.00030518044,-0.021057451,-0.085755706,-0.42633706,0.086610205,-0.25604638,-0.085755706,-0.25604638,0.08514534,-0.6210422,-0.04632639,0.08621348,-0.0007629511,0.11673152,-0.09550229,-0.3538857,-0.07825076,0.014152702,0.27370113,0.028890954,0.38631457,-0.73115665,-0.07051863,-1.3715487,0.07630746,-0.23795079,-0.14353064,-0.008851871
41,0.0,0.0,0.0,0.04917465,-0.25429448,0.08722283,0.06329687,0.01933072,-0.9978075,-0.015152667,-0.028195469,0.037402153,0.014001831,0.09456031,-0.0032607005,-0.03855299,-0.02474296,0.025126573,-0.103383385,-0.00095902954,-0.0155362785,-0.005562371,0.004411536,-0.085755706,0.06317235,-0.25604638,-0.5966278,-0.56195927,-0.085755706,-0.34088656,-0.17059587,-0.17059587,-0.6344701,-0.0221561,0.08316167,-0.064850844,-0.0007629511,-0.076483905,-0.28109407,-0.32861745,0.23186201,-0.22580743,0.050239354,0.47730538,-0.89645743,0.0035313014,-1.5162356,0.14423645,-0.21849117,-0.1418066,-0.052573025
42,0.0,0.0,0.0,0.010995574,-0.22484204,0.0435896,0.06744095,0.01932472,-0.9975361,-0.014769055,-0.027811857,0.029346304,0.008631266,0.08036667,-0.0013426413,-0.037785765,-0.03356603,0.025510184,-0.11834424,-0.0005754177,-0.0155362785,-0.006713207,0.0032607005,-0.085755706,-0.02777142,-0.34088656,-0.085755706,-0.60895705,-0.00030518044,0.08514534,-0.42633706,0.1699855,-0.78486305,-0.02887007,-0.043488212,-0.1014725,-0.08621348,-0.08468744,-0.2630429,-0.27235705,0.5055737,-0.35620084,-0.029402897,0.4792407,-0.85979646,0.1358931,-1.4232053,0.18405633,-0.19357671,-0.09987429,-0.046512097
43,0.0,0.0,0.0,0.020813052,-0.23575035,-0.07858345,0.07251164,0.020337079,-0.9971602,-0.01361822,-0.027044633,0.023592126,0.0063295946,0.06962554,-0.0005754177,-0.03663493,-0.041621882,0.026661022,-0.1267837,0.0005754177,-0.01591989,-0.01170016,0.0024934767,0.34027618,0.086976424,-0.085755706,-0.00030518044,-0.3565118,-0.085755706,-0.00030518044,-0.085755706,0.1699855,-0.078553446,0.08123903,-0.0007629511,-0.3166247,-0.0007629511,-0.09296188,-0.35035932,-0.12107074,0.6192027,-0.31885454,-0.1550936,0.44196513,-0.73209935,0.21399122,-1.2896892,0.14910063,-0.23684996,-0.0077790804,-0.02297309
44,0.0,0.0,0.0,0.013177236,-0.2837469,-0.27493298,0.07757562,0.020328308,-0.9967792,-0.012083772,-0.027044633,0.02244129,0.008631266,0.06732387,-0.002109865,-0.035100482,-0.046992447,0.028962692,-0.12831815,0.0028770885,-0.01591989,-0.018988784,0.0024934767,-0.5117876,-0.031433586,0.08514534,-0.00030518044,0.14166476,-0.5117876,-0.17059587,-0.25604638,0.4257267,0.03558404,0.20611887,-0.022125581,-0.25101092,-0.0007629511,-0.2074976,-0.53451544,0.21637669,0.64929193,-0.02162841,-0.2167596,0.47147635,-0.46567816,0.17027108,-1.0391772,-0.034420554,-0.29936165,0.08533172,0.04317648
45,0.0,0.0,0.0,-0.06536258,-0.1386664,-0.46801004,0.08172344,0.020321773,-0.99644786,-0.011316548,-0.02857908,0.025126573,0.0155362785,0.071543604,-0.0063295946,-0.030880751,-0.046992447,0.031647973,-0.12755093,0.002109865,-0.01591989,-0.022057679,0.0017262532,-0.085755706,-0.16021973,0.25543603,0.7669184,0.38336766,-0.25604638,0.25543603,0.34027618,-0.00030518044,0.15643549,-0.26788738,0.08316167,-0.08621348,-0.0007629511,-0.37972704,-0.84514624,0.5913914,0.7871076,-0.0115109235,-0.19087543,0.56432074,0.12456518,-0.1548964,-0.13162743,-0.085214615,-0.16779278,0.18593062,0.117354594
46,0.0,0.0,0.0,-0.124267444,-0.06994407,-0.5694573,0.082735136,0.019299679,-0.9963847,-0.014769055,-0.03433326,0.030113528,0.02474296,0.08151751,-0.011316548,-0.025126573,-0.045458,0.032031585,-0.114124514,-0.0013426413,-0.012467383,-0.022057679,0.0013426413,-0.34088656,-0.44953078,0.25543603,0.08514534,0.5955291,-0.00030518044,0.51117724,0.25543603,-0.25604638,1.4119478,-0.24774548,0.33951324,-0.0007629511,-0.0022888533,-0.5179044,-1.0012813,0.81613356,0.6167013,-0.29383346,-0.14832397,0.55830634,0.4755061,-0.7214323,0.7614586,-0.017112117,-0.08152598,0.20807545,0.1507885
47,0.0,0.0,0.0,-0.076270886,-0.14630222,-0.552004,0.08475793,0.019296024,-0.9962147,-0.023208514,-0.042389106,0.037785765,0.03318242,0.090340585,-0.016303502,-0.021290455,-0.03932021,0.02627741,-0.08075029,-0.0028770885,-0.0028770885,-0.019372396,0.002109865,-0.6820783,-0.44831008,0.1699855,0.4257267,0.14300755,-0.34088656,-0.34088656,0.51117724,-0.42633706,1.8402991,0.075867854,0.69199663,0.28458077,0.08773938,-0.44203708,-0.67885005,0.9046229,0.41964352,-0.67405283,-0.21519794,0.3112366,0.41267964,-1.0548842,0.95264715,0.013244999,-0.21416517,0.099500194,0.1452529
48,0.0,0.0,0.0,0.010995574,-0.0143117,-0.38183442,0.08677953,0.019292291,-0.9960407,-0.033949643,-0.046608835,0.042005494,0.03855299,0.088038914,-0.022057679,-0.020906843,-0.029729916,0.01591989,-0.044690777,-0.004027924,0.008631266,-0.008247654,0.0047951476,-0.9378195,-0.017395286,0.1699855,0.4257267,-0.53644615,-0.085755706,-0.085755706,0.4257267,-0.25604638,1.7570459,-0.1537499,0.61722744,0.7469291,0.1045243,-0.23464748,-0.2860303,0.6815313,0.32175612,-0.95175904,-0.2768287,0.023557507,0.36675674,-0.8058917,0.93563837,0.10167701,-0.41953182,-0.10274835,0.047921397
49,0.0,0.0,0.0,0.06662794,0.18967366,-0.099309236,0.08273532,0.02134004,-0.9963431,-0.04353994,-0.04315633,0.041621882,0.04085466,0.07192721,-0.02435935,-0.023208514,-0.027428245,0.006713207,-0.018605173,-0.002109865,0.017454337,0.0063295946,0.008631266,-0.17059587,0.4165713,-0.00030518044,-0.42633706,-1.0977341,0.25543603,-0.25604638,0.25543603,-0.42633706,0.8640879,0.30414283,0.36545357,0.08621348,0.21591516,-0.06330496,-0.17754048,0.2545717,0.36686277,-1.157799,-0.13234165,-0.088941455,0.40189332,-0.58607215,0.9901626,0.122849345,-0.59749776,-0.09545943,-0.018896267
