tick,cmd_0,cmd_1,cmd_2,ang_vel_0,ang_vel_1,ang_vel_2,proj_grav_0,proj_grav_1,proj_grav_2,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,vel_12,vel_13,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13
26,0.0,0.0,0.0,-0.008683013,-0.077328995,0.0055086953,0.014312583,0.011212465,-0.9998347,-0.010165713,0.0013426413,0.010549325,0.0063295946,-0.0051787593,-0.007864042,-0.013234608,-0.012083772,-0.016303502,-0.021674067,0.002109865,-0.017070726,-0.0070968186,-0.004027924,-0.00030518044,-0.017395286,-0.00030518044,-0.085755706,0.05975433,-0.085755706,-0.085755706,-0.00030518044,-0.00030518044,-0.012756542,0.1765774,-0.07553216,-0.0007629511,-0.0007629511,-0.053561196,-0.11975363,-0.0006945506,0.5818673,-0.935296,-0.038693484,0.04985676,-0.12791096,-0.25380728,-0.10356763,0.20180635,-0.21153857,-0.059593596,0.0052818656
27,0.0,0.0,0.0,-0.014137167,-0.072965674,0.033870295,0.014312583,0.011212465,-0.9998347,-0.010549325,0.0013426413,0.011316548,0.0070968186,-0.0032607005,-0.008631266,-0.013234608,-0.012083772,-0.01591989,-0.023208514,0.002109865,-0.017454337,-0.0070968186,-0.0036443123,-0.00030518044,-0.058289465,0.1699855,0.25543603,0.09869535,-0.17059587,-0.00030518044,-0.00030518044,0.08514534,-0.086610205,0.087953,-0.0007629511,-0.0007629511,-0.0007629511,-0.036428556,-0.12344688,-0.004366219,0.57497627,-0.92368656,-0.025998164,0.06404149,-0.13356586,-0.27046856,-0.08389357,0.2041522,-0.20596722,-0.047646426,-0.0067228675
28,0.0,0.0,0.0,-0.007592182,-0.07841983,0.017507834,0.01635165,0.011211922,-0.9998034,-0.010549325,0.0013426413,0.012467383,0.008247654,-0.0017262532,-0.008247654,-0.013234608,-0.012083772,-0.0155362785,-0.02435935,0.0024934767,-0.017454337,-0.0070968186,-0.004027924,-0.00030518044,-0.00030518044,0.1699855,0.51117724,-0.04901198,-0.085755706,0.25543603,0.1699855,0.08514534,0.07989624,0.09869535,-0.0007629511,-0.0007629511,-0.0007629511,-0.04119692,-0.12244615,0.0066842735,0.5713166,-0.9200081,-0.030107785,0.060601212,-0.13957465,-0.27404723,-0.058096938,0.20210847,-0.19712254,-0.044687327,-0.0035041422
29,0.0,0.0,0.0,-0.01850049,-0.0740565,-0.026125398,0.017371025,0.011211633,-0.99978626,-0.010549325,0.0013426413,0.012850996,0.0090148775,-0.0001918059,-0.008247654,-0.013234608,-0.012850996,-0.0155362785,-0.02474296,0.0028770885,-0.017454337,-0.0070968186,-0.004027924,-0.00030518044,0.04852369,0.1699855,0.08514534,0.03558404,0.08514534,0.1699855,0.25543603,-0.00030518044,0.0087281605,0.011413748,-0.0007629511,-0.0007629511,-0.0007629511,-0.061123118,-0.12737814,0.0035668463,0.5697425,-0.94118196,-0.044017885,0.050985016,-0.11904396,-0.26560587,-0.05604213,0.2000582,-0.19722827,-0.05470489,0.0155318305
30,0.0,0.0,0.0,-0.014137167,-0.068602346,-0.025034567,0.019409146,0.010190727,-0.9997597,-0.010549325,0.00095902954,0.014001831,0.009398489,0.0005754177,-0.008247654,-0.01361822,-0.01361822,-0.0155362785,-0.025510184,0.0028770885,-0.017070726,-0.0070968186,-0.004027924,0.34027618,0.024719616,-0.085755706,-0.00030518044,0.04632639,0.1699855,-0.00030518044,-0.085755706,0.08514534,-0.14569314,-0.0892958,-0.0007629511,-0.0007629511,-0.0007629511,-0.06153667,-0.12272358,0.0022778735,0.5736165,-0.9681186,-0.05204397,0.04103174,-0.11210184,-0.2479057,-0.044547144,0.22419082,-0.19824734,-0.062201764,0.0039248317
31,0.0,0.0,0.0,-0.008683013,-0.08496481,-0.011944597,0.02042818,0.0101904515,-0.9997394,-0.010549325,0.00095902954,0.015152667,0.009398489,0.00095902954,-0.008247654,-0.01361822,-0.014001831,-0.015152667,-0.02627741,0.0032607005,-0.017070726,-0.0070968186,-0.004027924,0.34027618,-0.07965209,-0.00030518044,-0.085755706,0.087953,0.1699855,0.34027618,-0.00030518044,0.1699855,-0.00067139696,-0.10003815,-0.0007629511,-0.0007629511,-0.0007629511,-0.05959308,-0.121079,0.0029221773,0.5692658,-0.9568512,-0.0497082,0.033511765,-0.124812335,-0.24845646,-0.04559291,0.23338404,-0.2019606,-0.06045573,-0.0006234199
32,0.0,0.0,0.0,-0.005410521,-0.08496481,0.013144511,0.022465887,0.0101898685,-0.99969566,-0.010549325,0.00095902954,0.01591989,0.009398489,0.0013426413,-0.008247654,-0.014001831,-0.014001831,-0.014769055,-0.027044633,0.0036443123,-0.017070726,-0.0070968186,-0.004027924,-0.00030518044,0.061341267,-0.00030518044,-0.00030518044,0.1309224,0.08514534,-0.34088656,0.08514534,-0.00030518044,-0.030212864,0.047669183,-0.0007629511,-0.0007629511,-0.0007629511,-0.03622348,-0.12653276,0.006584406,0.57398665,-0.9836176,-0.035971086,0.04661002,-0.1198886,-0.24746509,-0.06653203,0.19647324,-0.22290939,-0.059792824,0.0027110726
33,0.0,0.0,0.0,-0.005410521,-0.0598757,0.020780327,0.024503093,0.010189243,-0.99964786,-0.010549325,0.00095902954,0.016303502,0.009398489,0.0013426413,-0.008631266,-0.014001831,-0.014001831,-0.014769055,-0.027811857,0.004027924,-0.017070726,-0.007864042,-0.004027924,0.08514534,-0.058899824,-0.17059587,-0.085755706,0.020813307,-0.34088656,-0.17059587,0.25543603,0.25543603,-0.087953,0.10809491,-0.0007629511,-0.064850844,-0.0007629511,-0.036217593,-0.13012886,-0.011992358,0.5847782,-0.99678093,-0.031987365,0.06368626,-0.11771013,-0.2726167,-0.053874653,0.19783063,-0.23037687,-0.03630083,-0.0020060837
34,0.0,0.0,0.0,-0.003228859,-0.041331578,0.008781188,0.024503093,0.010189243,-0.99964786,-0.010549325,0.00095902954,0.016687114,0.009398489,0.0013426413,-0.008247654,-0.014001831,-0.014385443,-0.014385443,-0.028195469,0.004411536,-0.017070726,-0.0090148775,-0.004411536,0.1699855,-0.15350576,-0.17059587,0.08514534,-0.038269628,0.1699855,-0.085755706,0.34027618,0.25543603,-0.019470513,0.0060425727,-0.0007629511,-0.011444267,-0.0007629511,-0.041054383,-0.13231969,-0.018760085,0.5869528,-1.0321989,-0.03299124,0.06377248,-0.118245795,-0.28293282,-0.001013964,0.19958243,-0.21386759,-0.03347276,-0.0018538237
35,0.0,0.0,0.0,-0.015227998,-0.03042327,-0.011944597,0.025521502,0.010188915,-0.99962234,-0.010165713,0.00095902954,0.016687114,0.009782101,0.0013426413,-0.008631266,-0.01361822,-0.014769055,-0.014385443,-0.027811857,0.0047951476,-0.017070726,-0.009782101,-0.0047951476,0.08514534,0.007629511,0.08514534,-0.085755706,-0.0664683,-0.25604638,0.1699855,-0.25604638,-0.00030518044,-0.0046997787,-0.002014191,-0.0007629511,-0.0007629511,-0.0007629511,-0.05168651,-0.12695408,-0.015896402,0.6022734,-1.0225139,-0.047310602,0.044435807,-0.10283263,-0.26714322,-0.019708794,0.19640025,-0.22094615,-0.026969623,0.0074626654
